model_id,file,topic_id,category,preset,debate_format,format_score_raw,format_score_norm,llm_self_repetition,llm_team_repetition,llm_role_consistency,llm_persona_tone_toxicity,llm_web_search_tool_use,llm_faithfulness_hallucination_control,llm_logic_evidence_synthesis,llm_korean_language_compliance,llm_mean,final_score
Qwen-2.5-32B-Instruct,econ_001_2v2_balanced.json,econ_001,경제,2v2_balanced,2:2,100,5.0,5,5,5,5,5,4,5,5,4.88,4.89
Qwen-2.5-32B-Instruct,econ_001_2v2_polarized.json,econ_001,경제,2v2_polarized,2:2,100,5.0,4,3,5,5,5,4,4,5,4.38,4.44
Qwen-2.5-32B-Instruct,econ_001_3v3_balanced.json,econ_001,경제,3v3_balanced,3:3,100,5.0,5,5,5,5,5,5,5,5,5.0,5.0
Qwen-2.5-32B-Instruct,econ_001_3v3_mixed.json,econ_001,경제,3v3_mixed,3:3,100,5.0,5,5,5,5,5,4,5,5,4.88,4.89
Qwen-2.5-32B-Instruct,econ_002_2v2_balanced.json,econ_002,경제,2v2_balanced,2:2,90.0,4.6,5,5,5,5,5,4,5,5,4.88,4.84
Qwen-2.5-32B-Instruct,econ_002_2v2_polarized.json,econ_002,경제,2v2_polarized,2:2,100,5.0,5,5,5,5,5,4,5,5,4.88,4.89
Qwen-2.5-32B-Instruct,econ_002_3v3_balanced.json,econ_002,경제,3v3_balanced,3:3,90.0,4.6,4,4,5,5,5,5,5,5,4.75,4.73
Qwen-2.5-32B-Instruct,econ_002_3v3_mixed.json,econ_002,경제,3v3_mixed,3:3,100,5.0,5,5,5,5,5,5,5,5,5.0,5.0
Qwen-2.5-32B-Instruct,econ_003_2v2_balanced.json,econ_003,경제,2v2_balanced,2:2,100,5.0,4,4,5,5,5,4,5,5,4.62,4.67
Qwen-2.5-32B-Instruct,econ_003_2v2_polarized.json,econ_003,경제,2v2_polarized,2:2,100,5.0,4,4,5,5,5,4,4,5,4.5,4.56
Qwen-2.5-32B-Instruct,econ_003_3v3_balanced.json,econ_003,경제,3v3_balanced,3:3,100,5.0,4,4,5,5,5,4,5,5,4.62,4.67
Qwen-2.5-32B-Instruct,econ_003_3v3_mixed.json,econ_003,경제,3v3_mixed,3:3,100,5.0,5,5,5,5,5,4,5,5,4.88,4.89
Qwen-2.5-32B-Instruct,env_001_2v2_balanced.json,env_001,환경,2v2_balanced,2:2,100,5.0,5,5,5,5,5,5,5,5,5.0,5.0
Qwen-2.5-32B-Instruct,env_001_2v2_polarized.json,env_001,환경,2v2_polarized,2:2,100,5.0,5,5,5,5,5,5,5,5,5.0,5.0
Qwen-2.5-32B-Instruct,env_001_3v3_balanced.json,env_001,환경,3v3_balanced,3:3,100,5.0,5,5,5,5,5,5,5,5,5.0,5.0
Qwen-2.5-32B-Instruct,env_001_3v3_mixed.json,env_001,환경,3v3_mixed,3:3,96.7,4.87,4,3,5,5,5,5,4,5,4.5,4.54
Qwen-2.5-32B-Instruct,env_002_2v2_balanced.json,env_002,환경,2v2_balanced,2:2,100,5.0,5,5,5,5,5,4,5,5,4.88,4.89
Qwen-2.5-32B-Instruct,env_002_2v2_polarized.json,env_002,환경,2v2_polarized,2:2,100,5.0,5,5,5,5,5,4,5,5,4.88,4.89
Qwen-2.5-32B-Instruct,env_002_3v3_balanced.json,env_002,환경,3v3_balanced,3:3,100,5.0,5,5,5,5,5,4,5,5,4.88,4.89
Qwen-2.5-32B-Instruct,env_002_3v3_mixed.json,env_002,환경,3v3_mixed,3:3,100,5.0,4,3,5,5,5,4,4,5,4.38,4.44
Qwen-2.5-32B-Instruct,env_003_2v2_balanced.json,env_003,환경,2v2_balanced,2:2,100,5.0,5,5,5,5,5,5,5,5,5.0,5.0
Qwen-2.5-32B-Instruct,env_003_2v2_polarized.json,env_003,환경,2v2_polarized,2:2,100,5.0,2,2,5,5,5,5,4,5,4.12,4.22
Qwen-2.5-32B-Instruct,env_003_3v3_balanced.json,env_003,환경,3v3_balanced,3:3,100,5.0,5,5,5,5,5,5,5,5,5.0,5.0
